id;dur;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10
Cernuc JZD 2014 1;0.84;617;691;738;804;824;882;937;988;976;1003
Cernuc JZD 2014 1;0.86;640;710;785;820;882;925;976;980;964;1003
Cernuc JZD 2014 1;0.812;671;746;828;902;937;984;984;992;1007;1023
Cernuc JZD 2014 1;0.769;679;761;812;898;945;968;988;988;996;1003
Cernuc JZD 2014 1;0.779;675;726;750;828;902;988;1000;1003;1023;1019
Cernuc JZD 2014 1;0.845;683;746;792;855;890;949;980;992;996;992
Cernuc JZD 2014 1;0.852;714;804;855;898;953;988;988;992;1003;1003
Cernuc JZD 2014 1;0.764;679;742;820;906;933;957;1000;1015;1015;968
Cernuc JZD 2014 1;0.799;613;703;769;859;898;933;976;996;1007;1019
