id;dur;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10
Brestany 2016;0.692;773;726;750;750;769;785;800;820;828;875
Brestany 2016;0.648;832;843;855;855;863;875;898;914;929;945
Brestany 2016;0.624;859;855;859;875;890;898;921;937;933;957
Brestany 2016;0.648;863;863;878;882;882;894;906;914;921;976
Brestany 2016;0.66;890;886;890;906;914;917;933;937;937;964
Brestany 2016;0.624;921;906;921;921;921;960;960;968;984;972
Brestany 2016;0.628;929;910;941;949;941;953;964;984;968;1007
Brestany 2016;0.62;937;921;941;921;929;941;945;953;953;968
Brestany 2016;0.607;937;933;937;960;960;968;968;988;988;1007
Brestany 2016;0.62;906;906;910;917;921;925;937;960;964;980
Brestany 2016;0.603;902;914;894;894;910;929;945;953;953;957
Brestany 2016;0.608;898;906;910;910;902;917;937;937;953;937
Brestany 2016;0.573;906;906;925;937;937;949;945;953;949;972
Brestany 2016;0.624;937;910;929;941;937;941;968;976;980;1015
Brestany 2016;0.604;859;882;875;878;886;875;906;914;933;925
Brestany 2016;0.625;855;843;847;882;906;890;921;933;1062;1109
Brestany 2016;0.629;906;906;894;906;906;925;925;953;1007;1101
Brestany 2016;0.609;898;902;902;921;910;921;929;957;1000;1023
Brestany 2016;0.636;902;890;910;921;929;941;964;984;1015;1082
Brestany 2016;0.625;921;933;933;945;941;953;953;972;988;1066
